title,runtime,metascore,rating,genre
The Host,125,35,5.9,action
The Mortal Instruments: City of Bones,130,33,5.9,action
The Promise,133,49,5.9,drama
The Sea of Trees,110,23,5.9,drama
Tracktown,88,64,5.9,drama
War on Everyone,98,50,5.9,action
2012,158,49,5.8,action
All We Had,105,48,5.8,drama
Battleship,131,41,5.8,action
Clash of the Titans,106,39,5.8,action
G.I. Joe: Retaliation,110,41,5.8,action
G.I. Joe: The Rise of Cobra,118,32,5.8,action
Keeping Up with the Joneses,105,34,5.8,action
Man Down,90,27,5.8,drama
Masterminds,95,47,5.8,action
Noah,138,68,5.8,action
Office Christmas Party,105,42,5.8,comedy
Old Boy,104,49,5.8,action
Pride and Prejudice and Zombies,108,45,5.8,action
Rock Dog,90,48,5.8,comedy
The Break-Up,106,45,5.8,comedy
The Gunman,115,39,5.8,action
The Heartbreak Kid,116,46,5.8,comedy
The Three Musketeers,110,35,5.8,action
Underworld: Blood Wars,91,23,5.8,action
White Girl,88,65,5.8,drama
Wrath of the Titans,99,37,5.8,action
Allegiant,120,33,5.7,action
Ben-Hur,123,38,5.7,action
City of Tiny Lights,110,54,5.7,drama
Collide,99,33,5.7,action
Fool's Gold,112,29,5.7,action
High-Rise,119,65,5.7,drama
Ice Age: Collision Course,94,34,5.7,comedy
Knight of Cups,118,53,5.7,drama
Magic Mike XXL,115,60,5.7,comedy
Monster Trucks,104,41,5.7,action
Neighbors 2: Sorority Rising,92,58,5.7,comedy
Regression,106,32,5.7,drama
Rules Don't Apply,127,,5.7,comedy
The Babysitters,88,35,5.7,drama
The Do-Over,108,22,5.7,action
Transformers: Age of Extinction,165,32,5.7,action
What to Expect When You're Expecting,110,41,5.7,comedy
Zipper,103,39,5.7,drama
Below Her Mouth,94,42,5.6,drama
Fallen,91,,5.6,drama
Folk Hero & Funny Guy,88,63,5.6,comedy
Green Lantern,114,39,5.6,action
King Cobra,91,48,5.6,drama
Lady in the Water,110,36,5.6,drama
Mechanic: Resurrection,98,38,5.6,action
Mother's Day,118,18,5.6,comedy
Pixels,105,27,5.6,action
Resident Evil: The Final Chapter,107,49,5.6,action
Search Party,93,22,5.6,comedy
Snakes on a Plane,105,58,5.6,action
Unfriended,83,59,5.6,drama
Vampire Academy,104,30,5.6,action
Your Highness,102,31,5.6,comedy
Bride Wars,89,24,5.5,comedy
Couples Retreat,113,23,5.5,comedy
Gods of Egypt,126,25,5.5,action
Piranha 3D,88,53,5.5,comedy
Pompeii,105,39,5.5,action
Seventh Son,102,30,5.5,action
Sex and the City,145,53,5.5,comedy
The House Bunny,97,55,5.5,comedy
The Matchbreaker,94,44,5.5,comedy
The Twilight Saga: Breaking Dawn - Part 2,115,52,5.5,drama
Vincent N Roxxy,110,,5.5,drama
Viral,85,72,5.5,drama
You Don't Mess with the Zohan,113,54,5.5,action
Blackhat,133,51,5.4,drama
Grown Ups 2,101,19,5.4,comedy
I.T.,95,27,5.4,drama
Red Dawn,93,31,5.4,action
Resident Evil: Retribution,96,39,5.4,action
The Boss,99,40,5.4,comedy
The Comedian,120,40,5.4,comedy
The Ticket,97,52,5.4,drama
Tusk,102,55,5.4,comedy
Annie,118,33,5.3,comedy
Ghostbusters,116,60,5.3,action
Independence Day: Resurgence,120,32,5.3,action
Jupiter Ascending,127,40,5.3,action
Nine Lives,87,11,5.3,comedy
Point Break,114,34,5.3,action
Sleeping Beauty,101,,5.3,drama
Spring Breakers,94,63,5.3,drama
The Counselor,117,48,5.3,drama
The Stakelander,81,,5.3,action
The Warriors Gate,108,77,5.3,action
A Kind of Murder,95,50,5.2,drama
Conan the Barbarian,113,,5.2,action
Ghost Rider,114,35,5.2,action
Lavender,92,46,5.2,drama
Legion,100,32,5.2,action
The 5th Wave,112,33,5.2,action
The Mummy: Tomb of the Dragon Emperor,112,31,5.2,action
Twilight,122,56,5.2,drama
USS Indianapolis: Men of Courage,128,30,5.2,action
Jennifer's Body,102,47,5.1,comedy
Sex Tape,94,36,5.1,comedy
The Rise of the Krays,110,90,5.1,drama
Amateur Night,92,38,5,comedy
Lída Baarová,106,64,5,drama
Whisky Galore,98,43,5,comedy
After Earth,100,33,4.9,action
Bonjour Anne,92,50,4.9,comedy
Kickboxer: Vengeance,90,37,4.9,action
Knock Knock,99,53,4.9,drama
Megan Is Missing,85,94,4.9,drama
The Twilight Saga: Breaking Dawn - Part 1,117,45,4.9,drama
The Twilight Saga: Eclipse,124,58,4.9,drama
Chalk It Up,90,,4.8,comedy
The Ridiculous 6,119,18,4.8,comedy
Aliens vs Predator - Requiem,94,29,4.7,action
Final Girl,90,56,4.7,action
Viking,133,57,4.7,action
Zoolander 2,102,34,4.7,comedy
Max Steel,92,22,4.6,action
Shut In,91,,4.6,drama
The Assignment,95,34,4.5,action
Fantastic Four,100,27,4.3,action
Movie 43,94,18,4.3,comedy
Sex and the City 2,146,27,4.3,comedy
Yoga Hosers,88,23,4.3,comedy
Exposed,102,23,4.2,drama
The Last Airbender,103,20,4.2,action
Fifty Shades of Grey,125,46,4.1,drama
Birth of the Dragon,103,61,3.9,action
The Disappointments Room,85,31,3.9,drama
The Last Face,130,16,3.7,drama
The Intent,104,59,3.5,drama
Wrecker,83,37,3.5,action
Dragonball Evolution,85,45,2.7,action
Disaster Movie,87,15,1.9,comedy
