title,runtime,metascore,rating,genre
Kung Fu Panda,92,73,7.6,action
Les Misérables,158,63,7.6,drama
Moneyball,133,87,7.6,drama
Rise of the Planet of the Apes,105,68,7.6,action
Sherlock Holmes,128,57,7.6,action
Sicario,121,82,7.6,action
Superbad,113,76,7.6,comedy
The Hunger Games: Catching Fire,146,76,7.6,action
The Hurt Locker,131,94,7.6,drama
The Illusionist,110,68,7.6,drama
The imposible,114,73,7.6,drama
The Skin I Live In,120,70,7.6,drama
The Town,125,74,7.6,drama
Toni Erdmann,162,93,7.6,comedy
True Grit,110,80,7.6,drama
Watchmen,162,56,7.6,action
What We Do in the Shadows,86,76,7.6,comedy
42,128,62,7.5,drama
A Monster Calls,108,76,7.5,drama
August Rush,114,38,7.5,drama
Babel,143,69,7.5,drama
Bacalaureat,128,84,7.5,drama
Brooklyn,117,87,7.5,drama
Busanhaeng,118,72,7.5,action
Cloud Atlas,172,55,7.5,drama
Frantz,113,73,7.5,drama
Freedom Writers,123,64,7.5,drama
Frozen,102,74,7.5,comedy
Goksung,156,81,7.5,drama
Hugo,126,83,7.5,drama
Juno,96,81,7.5,comedy
Lone Survivor,121,60,7.5,action
Moonlight,111,99,7.5,drama
Nocturnal Animals,116,67,7.5,drama
Paterson,118,90,7.5,comedy
Perfume: The Story of a Murderer,147,56,7.5,drama
Predestination,97,69,7.5,drama
Raw (II),99,81,7.5,drama
Saving Mr. Banks,125,65,7.5,comedy
Scott Pilgrim vs. the World,112,69,7.5,action
Selma,128,,7.5,drama
Sherlock Holmes: A Game of Shadows,129,48,7.5,action
Sully,96,74,7.5,drama
The Assassination of Jesse James by the Coward Robert Ford,160,68,7.5,drama
The Jungle Book,106,77,7.5,drama
Wakefield,106,61,7.5,drama
We Need to Talk About Kevin,112,68,7.5,drama
20th Century Women,119,83,7.4,comedy
A Street Cat Named Bob,103,54,7.4,comedy
Across the Universe,133,56,7.4,drama
Avengers: Age of Ultron,141,66,7.4,action
Begin Again,104,62,7.4,drama
Blue Valentine,112,81,7.4,drama
Boyka: Undisputed IV,86,,7.4,action
"Crazy, Stupid, Love.",118,68,7.4,comedy
Demain tout commence,118,,7.4,comedy
Despicable Me 2,98,62,7.4,comedy
Eddie the Eagle,106,54,7.4,comedy
Finding Dory,97,77,7.4,comedy
Handsome Devil,95,,7.4,drama
Jane Eyre,120,76,7.4,drama
Law Abiding Citizen,109,34,7.4,drama
Lincoln,150,86,7.4,drama
Looper,119,84,7.4,action
Me Before You,106,51,7.4,drama
Mission: Impossible - Ghost Protocol,132,73,7.4,action
Mission: Impossible - Rogue Nation,131,75,7.4,action
Patriots Day,133,69,7.4,drama
Queen of Katwe,124,73,7.4,drama
Southpaw,124,57,7.4,drama
