name,number,gender
Ayoub,82,0
Lex,82,0
Fayenne,82,1
Giovanni,81,0
Jonas,81,0
Jop,81,0
Rick,81,0
Faya,81,1
Tijmen,80,0
Joy,80,1
Maya,80,1
Yinthe,80,1
Ivan,79,0
Micha,79,0
Rowan,79,0
Liza,79,1
Thirza,79,1
Aron,78,0
Elijah,78,0
Logan,78,0
Luke,78,0
Marinus,78,0
Nout,78,0
Alyssa,78,1
Jente,78,1
Leah,78,1
Mette,78,1
Ezra,77,0
Moos,77,0
Vincent,77,0
Noëlle,77,1
Tara,77,1
Amin,76,0
Ilyas,76,0
Marijn,76,0
Philip,76,0
Danique,76,1
Maryam,76,1
Zara,76,1
Mustafa,75,0
Esther,75,1
Nolan,74,0
Maartje,74,1
Megan,74,1
Pip,74,1
Renske,74,1
Jordy,73,0
Miraç,73,0
Sander,73,0
Sverre,73,0
Tycho,73,0
Wouter,73,0
Silke,73,1
Filip,72,0
Jari,72,0
Kasper,72,0
Maurits,72,0
Merijn,72,0
Ömer,72,0
Eliza,72,1
Selina,72,1
Beau,71,0
Joost,71,0
Aylin,71,1
Kim,71,1
Lucy,71,1
Nisa,71,1
Fynn,70,0
Mark,70,0
Naud,70,0
Wesley,70,0
Yasmine,70,1
Bilal,69,0
Omar,69,0
Sjoerd,69,0
Phileine,69,1
Christian,68,0
Huub,68,0
Yassin,68,0
Zakaria,68,0
Jackie,68,1
Nadia,68,1
Pleun,68,1
Yuna,68,1
Zoey,68,1
Ayden,67,0
Kick,67,0
Lasse,67,0
Sef,67,0
Tyler,67,0
Dewi,67,1
Fabiënne,67,1
Hira,67,1
Marly,67,1
Manuel,66,0
Tristan,66,0
Alina,66,1
Joëlle,66,1
Safouan,65,0
Stefan,65,0
Fayèn,65,1
Jennifer,65,1
Jolien,65,1
Maja,65,1
Luciano,64,0
Thom,64,0
Younes,64,0
Ashley,64,1
Floortje,64,1
Jinthe,64,1
Lizz,64,1
Ziva,64,1
Bastiaan,63,0
Lennon,63,0
Amina,63,1
Dana,63,1
Albert,62,0
Bentley,62,0
Joah,62,0
Michael,62,0
Sten,62,0
Chelsey,62,1
Daantje,62,1
Destiny,62,1
Elina,62,1
Juna,62,1
Ninthe,62,1
Berend,61,0
Bjorn,61,0
Djayden,61,0
Ivar,61,0
Jorn,61,0
Leendert,61,0
Levy,61,0
Ole,61,0
Annemijn,61,1
Fatima,61,1
Gwen,61,1
Kyra,61,1
Johan,60,0
Mert,60,0
Amelia,60,1
Charlie,60,1
Evelien,60,1
Nine,60,1
Nour,60,1
Berat,59,0
Matthew,59,0
Matthias,59,0
Azra,59,1
Emilia,59,1
Evie,59,1
Helena,59,1
Hendrika,59,1
Louis,58,0
Mehmet,58,0
Maaike,58,1
Arie,57,0
Jayce,57,0
Matteo,57,0
Scott,57,0
Elsa,57,1
Kaylee,57,1
Alan,56,0
Jacobus,56,0
Lewis,56,0
Mels,56,0
Mohammad,56,0
Viggo,56,0
Vinz,56,0
Yannick,56,0
Karlijn,56,1
Nynke,56,1
Valentina,56,1
Ilias,55,0
Rik,55,0
Carmen,55,1
Emilie,55,1
Imke,55,1
Linn,55,1
Ayman,54,0
Damin,54,0
Tieme,54,0
Jula,54,1
Loes,54,1
Marley,54,1
Coen,53,0
Delano,53,0
Frederik,53,0
Nino,53,0
Noël,53,0
Olaf,53,0
Abigail,53,1
Lindsey,53,1
Safae,53,1
Adriaan,52,0
Boet,52,0
Davey,52,0
Krijn,52,0
Nigel,52,0
Nils,52,0
Sebastian,52,0
Esma,52,1
Farah,52,1
Jayda,52,1
Mina,52,1
Miray,52,1
Jeremy,51,0
Jonah,51,0
Mads,51,0
Raff,51,0
Carlijn,51,1
Chelsea,51,1
Diede,51,1
Ela,51,1
Keet,51,1
Vayèn,51,1
Anthony,50,0
Jaylen,50,0
Jules,50,0
Kaj,50,0
Klaas,50,0
Pelle,50,0
Sebas,50,0
Aaliyah,50,1
Cataleya,50,1
Isabeau,50,1
Iza,50,1
Jolijn,50,1
Kyara,50,1
Lou,50,1
Maysa,50,1
Pippa,50,1
Tirza,50,1
Ahmet,49,0
Armin,49,0
Bob,49,0
Dave,49,0
Giel,49,0
Jur,49,0
Matz,49,0
Semih,49,0
Annabel,49,1
Bobbi,49,1
Femm,49,1
Hafsa,49,1
Isra,49,1
Jessica,49,1
Kayleigh,49,1
Liyana,49,1
Mirte,49,1
Nadine,49,1
Brandon,48,0
Dante,48,0
Jelmer,48,0
Jochem,48,0
Kenji,48,0
Lyam,48,0
Marcel,48,0
Mart,48,0
Mathijs,48,0
William,48,0
Melissa,48,1
Meryem,48,1
Yasmin,48,1
Yenthe,48,1
Ahmed,47,0
Jordan,47,0
Silvan,47,0
Tibbe,47,0
Khadija,47,1
Lois,47,1
Zehra,47,1
Anouar,46,0
Ensar,46,0
Maher,46,0
Yves,46,0
Famke,46,1
Gigi,46,1
Stacey,46,1
Vesper,46,1
Brian,45,0
Christiaan,45,0
Douwe,45,0
Ethan,45,0
Mitch,45,0
Alexandra,45,1
Hanne,45,1
Imane,45,1
Layla,45,1
Lianne,45,1
Melody,45,1
Michelle,45,1
Rebecca,45,1
Selena,45,1
Devin,44,0
Enzo,44,0
Gabriël,44,0
Ismail,44,0
Jarno,44,0
Jimmy,44,0
Len,44,0
Lennox,44,0
Peter,44,0
Hajar,44,1
Viënna,44,1
Kacper,43,0
Natan,43,0
Senna,43,0
Babette,43,1
Bella,43,1
Dani,43,1
Florine,43,1
Jacoba,43,1
Josefien,43,1
Larissa,43,1
Louisa,43,1
Puk,43,1
Romée,43,1
Bruno,42,0
Jorrit,42,0
Maas,42,0
Mink,42,0
Robert,42,0
Siebe,42,0
Yassir,42,0
Ava,42,1
Doris,42,1
Flore,42,1
Liselotte,42,1
Neeltje,42,1
Nicole,42,1
Wilhelmina,42,1
Bruce,41,0
Davy,41,0
