month,high,average,low
jan,7.1,1.4,-7
feb,7.6,2.5,-6.7
mrt,8.8,4.7,-2.3
apr,13.1,8.2,4.3
mei,16,12.3,7.5
jun,18.8,15.2,11.2
jul,22.3,16.9,13.9
aug,20.5,16.7,13.5
sep,17.9,14.2,10.7
okt,14.2,10,6
nov,10.2,5.5,0.6
dec,7.3,2.7,-5.7
