Mark,Rutte,1967,VVD
Geert,Wilders,1963,PVV
Sybrand,van Haersma Buma,1965,CDA
Alexander,Pechtold,1965,D66
Jesse,Klaver,1986,GroenLinks
Lilian,Marijnissen,1985,SP
Lodewijk,Asscher,1974,PvdA
Gert-Jan,Segers,1969,ChristenUnie
