,address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,url,year_built
5936,Spuistraat 105 -D,,,,1012 SV,16-12-2015,,apartment,,29-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49684584-spuistraat-105-d/,
5937,Hoofdweg 380 III,,,,1056 DD,19-12-2015,,apartment,,12-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85052895-hoofdweg-380-iii/,
5938,Veembroederhof 53,,,,1019 HD,20-11-2015,,apartment,,9-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49660781-veembroederhof-53/,
5939,Veembroederhof 53 *,,,,1019 HD,21-11-2015,,apartment,,9-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49660010-veembroederhof-53/,
5940,Zeeburger Zilt (Bouwnr. 311),,,,1095 MB,15-10-2015,,house,,13-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49522390-zeeburger-zilt-bouwnr-311/,
5941,Bentinckstraat 40 HS,,,,1051 GL,27-5-2015,,apartment,,19-6-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49482607-bentinckstraat-40-hs/,
5942,Ceintuurbaan 366 hs+I,,,,1073 EL,22-12-2015,,apartment,,12-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49690700-ceintuurbaan-366-hs-i/,
5943,Elckerlijcstraat 46 hs,,,,1055 AP,12-9-2015,,apartment,,28-9-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49596128-elckerlijcstraat-46-hs/,
5944,Orteliuskade 49 III,,,,1057 AJ,6-6-2015,,apartment,,7-9-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49405268-orteliuskade-49-iii/,
5945,Eerste Hugo de Grootstraat 14 III,,,,1052 KP,27-11-2015,,apartment,,1-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49677436-eerste-hugo-de-grootstraat-14-iii/,
5946,Admiralengracht 105 III,,,,1057 ET,28-11-2015,,apartment,,18-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49678966-admiralengracht-105-iii/,
5947,Conradstraat 106 I,,,,1018 NL,28-10-2015,,apartment,,13-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49545765-conradstraat-106-i/,
5948,Van Tuyll van Serooskerkenweg 76 hs,,,,1076 JN,19-9-2015,,apartment,,30-9-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49594056-van-tuyll-van-serooskerkenweg-76-hs/,
5949,Reinier Claeszenstraat 23 II,,,,1056 WD,25-8-2015,,apartment,,31-8-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49578950-reinier-claeszenstraat-23-ii/,
5950,Backershagen 3,,,,1082 GR,19-12-2015,,apartment,,18-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49698577-backershagen-3/,
