,address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,url,year_built
0,Eastonstraat 63,,,,1068 JB,10-5-2016,,apartment,,6-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49738479-eastonstraat-63/,
1,Werkendamstraat 47,,,,1107 KK,3-3-2014,,apartment,,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-84301519-werkendamstraat-47/,
2,Westerlengte 171,,,,1034 TC,15-3-2016,,apartment,,7-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49778705-westerlengte-171/,
3,Laplacestraat 37 -hs,,,,1098 HR,13-5-2016,,apartment,,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49732866-laplacestraat-37-hs/,
4,Oostenburgergracht 8,,,,1018 NA,16-6-2016,,house,,15-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49881414-oostenburgergracht-8/,
5,KNSM-laan 722,,,,1019 LS,17-6-2016,,apartment,,15-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85247259-knsm-laan-722/,
6,Eikenweg 58 D,,,,1092 CB,7-6-2016,,apartment,,17-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49870135-eikenweg-58-d/,
7,Binnengasthuisstraat 44,,,,1012 ZD,9-6-2016,,apartment,,12-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49871385-binnengasthuisstraat-44/,
8,Anna Blamansingel 145,,,,1102 SV,25-2-2016,,apartment,,30-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49759518-anna-blamansingel-145/,
9,Admiraal De Ruijterweg 401 II,,,,1055 MD,31-5-2016,,apartment,,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49862126-admiraal-de-ruijterweg-401-ii/,
10,Wamelstraat 3,,,,1106 DL,5-3-2016,,apartment,,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49768227-wamelstraat-3/,
11,Diopter 134,,,,1025 MT,24-5-2016,,house,,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49743170-diopter-134/,
12,Oostakkerstraat 73,,,,1066 HR,4-9-2015,,apartment,,22-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49589512-oostakkerstraat-73/,
13,Hoendiepstraat 13 h,,,,1079 LP,24-2-2016,,apartment,,3-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49757770-hoendiepstraat-13-h/,
14,Oetewalerstraat 35,,,,1093 MC,10-6-2016,,apartment,,29-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49873080-oetewalerstraat-35/,
15,Kuiperssteeg 5 C,,,,1012 HR,27-2-2016,,apartment,,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49751580-kuiperssteeg-5-c/,
16,Jan van Schaffelaarplantsoen 19 -A,,,,1061 DL,11-6-2016,,apartment,,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49885808-jan-van-schaffelaarplantsoen-19-a/,
17,Ben van Meerendonkstraat 156,,,,1087 LN,17-2-2015,,house,,26-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-48389404-ben-van-meerendonkstraat-156/,
18,IJburglaan 827,,,,1087 CL,2-4-2016,,apartment,,4-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49790759-ijburglaan-827/,
19,Tweede Boerhaavestraat 70 III,,,,1091 AR,19-2-2016,,apartment,,15-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49643782-tweede-boerhaavestraat-70-iii/,
20,De la Reijstraat 33 a,,,,1091 NZ,23-4-2016,,apartment,,18-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49712301-de-la-reijstraat-33-a/,
21,Domselaerstraat 21 II,,,,1093 JM,18-6-2016,,apartment,,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49884051-domselaerstraat-21-ii/,
22,Van Suchtelen van de Haarestraat 28 K,,,,1068 GV,26-2-2016,,apartment,,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49759354-van-suchtelen-van-de-haarestraat-28-k/,
23,Laplacestraat 33 hs,,,,1098 HR,8-5-2016,,apartment,,29-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85190701-laplacestraat-33-hs/,
24,Flevoparkweg 92,,,,1095 DP,30-5-2016,,apartment,,16-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49861719-flevoparkweg-92/,
25,Jacob Krüsestraat 174,,,,1106 ZL,18-6-2016,,house,,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49884901-jacob-krusestraat-174/,
26,Lutmastraat 71 II,,,,1073 GP,15-3-2016,,apartment,,14-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49778472-lutmastraat-71-ii/,
27,Linnaeusparkweg 86 III,,,,1098 EH,10-3-2016,,apartment,,3-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49761363-linnaeusparkweg-86-iii/,
28,Recht Boomssloot 85 hs,,,,1011 CX,27-1-2016,,apartment,,30-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49627736-recht-boomssloot-85-hs/,
29,Diopter 10,,,,1025 MS,18-5-2016,,house,,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49746088-diopter-10/,
30,Rustenburgerstraat 364 II,,,,1072 HE,27-5-2016,,apartment,,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49868384-rustenburgerstraat-364-ii/,
31,Witte de Withstraat 3 -D,,,,1057 XD,17-8-2013,,apartment,,15-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-48870618-witte-de-withstraat-3-d/,
32,President Brandstraat 318,,,,1091 WS,14-5-2016,,apartment,,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49745639-president-brandstraat-318/,
33,Saskia van Uijlenburgkade 142,,,,1058 GA,19-5-2016,,apartment,,7-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49748627-saskia-van-uijlenburgkade-142/,
34,Ruiseveenpad 12,,,,1106 AM,19-1-2016,,apartment,,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49619132-ruiseveenpad-12/,
35,Kramatweg 7 -II,,,,1095 JM,28-5-2016,,apartment,,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49869321-kramatweg-7-ii/,
36,Nieuwe Achtergracht 89 sous,,,,1018 WN,13-5-2016,,apartment,,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49732657-nieuwe-achtergracht-89-sous/,
37,Keizersgracht 138 D,,,,1015 CW,9-12-2015,,apartment,,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49687326-keizersgracht-138-d/,
38,Hogeweg 38,,,,1098 CD,13-7-2016,,apartment,,11-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49819086-hogeweg-38/,
39,Overtoom 34 II,,,,1054 HK,2-12-2015,,apartment,,29-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49679343-overtoom-34-ii/,
40,Griseldestraat 13 -III,,,,1055 AR,25-6-2016,,apartment,,7-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49892056-griseldestraat-13-iii/,
41,Potgieterstraat 61 I,,,,1053 XT,17-6-2016,,apartment,,5-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49883801-potgieterstraat-61-i/,
42,Kermispad 25,,,,1033 WX,1-6-2016,,apartment,,14-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49863476-kermispad-25/,
43,Tjasker 69,,,,1035 CT,27-6-2013,,apartment,,12-2-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-48733236-tjasker-69/,
44,Hendrik Bulthuisstraat 13,,,,1067 SC,8-12-2015,,house,,18-2-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49685137-hendrik-bulthuisstraat-13/,
45,J.J. Cremerplein 44 II,,,,1054 TL,20-1-2016,,apartment,,12-2-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49610867-jj-cremerplein-44-ii/,
46,Mijehof 335,,,,1106 HJ,15-3-2016,,house,,26-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49777813-mijehof-335/,
47,Westbroekstraat 16,,,,1107 KB,5-3-2016,,apartment,,13-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49768093-westbroekstraat-16/,
48,Knokkestraat 69,,,,1066 WK,9-6-2015,,house,,17-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49408596-knokkestraat-69/,
49,Voordek 51,,,,1034 SV,18-6-2015,,apartment,,29-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49418707-voordek-51/,
50,Lange Vonder 26,,,,1035 JX,16-2-2016,,house,,17-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49649113-lange-vonder-26/,
51,Rochussenstraat 9 hs,,,,1051 JK,9-3-2016,,apartment,,5-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49761568-rochussenstraat-9-hs/,
52,Abbenesstraat 10 II,,,,1059 TD,16-3-2016,,apartment,,8-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49778322-abbenesstraat-10-ii/,
53,Marksingel 14,,,,1060 SG,10-3-2015,,house,,11-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-48309502-marksingel-14/,
54,Bos en Lommerplantsoen 19 A,,,,1055 AA,2-6-2016,,apartment,,7-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49875136-bos-en-lommerplantsoen-19-a/,
55,Boeroestraat 2,,,,1095 VR,14-5-2016,,apartment,,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49724526-boeroestraat-2/,
56,Bos en Lommerweg 295 II,,,,1055 DX,27-6-2016,,apartment,,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49892565-bos-en-lommerweg-295-ii/,
57,Weteringschans 56 A,,,,1017 SH,17-3-2016,,apartment,,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49771916-weteringschans-56-a/,
58,Amstelveenseweg 918 A,,,,1081 JN,18-5-2016,,apartment,,11-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49745385-amstelveenseweg-918-a/,
59,Piet Gijzenbrugstraat 25 huis+I,,,,1059 XE,30-6-2016,,apartment,,12-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49808746-piet-gijzenbrugstraat-25-huis-i/,
60,Rudolf Agricolastraat 7,,,,1064 NL,5-5-2016,,house,,17-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49724139-rudolf-agricolastraat-7/,
61,Moerdijkstraat 39 1,,,,1079 XM,22-5-2016,,apartment,,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49731513-moerdijkstraat-39-1/,
62,Liendenhof 92,,,,1108 HD,8-6-2016,,apartment,,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49871036-liendenhof-92/,
63,Albert Luthulistraat 14 B,,,,1091 NV,31-5-2016,,apartment,,22-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49862466-albert-luthulistraat-14-b/,
64,Albert Luthulistraat 16 B,,,,1091 NV,23-4-2016,,apartment,,18-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49712309-albert-luthulistraat-16-b/,
65,Wormerveerstraat 7 -III L,,,,1013 SJ,16-6-2016,,apartment,,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49881949-wormerveerstraat-7-iii-l/,
66,Fokke Simonszstraat 88 E,,,,1017 TK,14-5-2016,,apartment,,14-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49734190-fokke-simonszstraat-88-e/,
67,Finsenstraat 21 I,,,,1098 RE,10-5-2016,,apartment,,30-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49736263-finsenstraat-21-i/,
68,N. Lansdorpstraat 21,,,,1022 KB,12-5-2016,,house,,7-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49730073-n-lansdorpstraat-21/,
69,Vorselaarstraat 98,,,,1066 ST,16-4-2016,,house,,27-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49716028-vorselaarstraat-98/,
70,Esmoreitstraat 44 III,,,,1055 CH,22-6-2016,,apartment,,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49896198-esmoreitstraat-44-iii/,
71,Marnixstraat 243 II,,,,1015 WG,25-5-2016,,apartment,,14-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49855555-marnixstraat-243-ii/,
72,Kranenburg 29,,,,1083 JM,24-5-2016,,apartment,,6-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85107523-kranenburg-29/,
73,Willem de Zwijgerlaan 146 -3,,,,1056 JV,24-6-2016,,apartment,,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49890967-willem-de-zwijgerlaan-146-3/,
74,Herengracht 198 A,,,,1016 BS,21-5-2016,,apartment,,1-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49749684-herengracht-198-a/,
75,Borssenburgplein 147 HS,,,,1078 WB,18-6-2016,,apartment,,11-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49884670-borssenburgplein-147-hs/,
76,Jacob van Lennepstraat 263 B,,,,1053 JE,13-5-2016,,apartment,,27-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49722086-jacob-van-lennepstraat-263-b/,
77,Akersingel 73,,,,1060 NJ,11-5-2016,,apartment,,25-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49739185-akersingel-73/,
78,Nachtwachtlaan 304,,,,1058 EK,13-5-2016,,apartment,,24-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49732934-nachtwachtlaan-304/,
79,Arent Janszoon Ernststraat 133,,,,1083 GS,19-5-2016,,apartment,,26-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49748505-arent-janszoon-ernststraat-133/,
80,Nico Jessekade 119,,,,1087 MR,30-1-2016,,house,,26-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49624142-nico-jessekade-119/,
81,Katwijkstraat 16 -II,,,,1059 XP,24-6-2016,,apartment,,11-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49892581-katwijkstraat-16-ii/,
82,Nachtwachtlaan 84,,,,1058 EC,25-1-2010,,apartment,,26-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-47672575-nachtwachtlaan-84/,
83,Weerdestein 183,,,,1083 GM,27-5-2016,,apartment,,1-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49868213-weerdestein-183/,
84,Stadionweg 310 HS,,,,1076 PK,22-2-2016,,apartment,,31-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49755687-stadionweg-310-hs/,
85,Eva Besnyöstraat 399,,,,1087 LG,24-10-2015,,apartment,,10-2-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85997070-eva-besnyostraat-399/,
86,Spaarndammerdijk 581,,,,1014 AC,10-6-2016,,house,,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49885937-spaarndammerdijk-581/,
87,Kweekhoven 35,,,,1068 ZT,22-12-2015,,apartment,,10-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49699385-kweekhoven-35/,
88,Ploegstraat 30,,,,1097 WH,21-5-2016,,house,,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49740900-ploegstraat-30/,
89,Bestevâerstraat 193 I,,,,1055 TL,10-6-2016,,apartment,,1-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49874610-bestevaerstraat-193-i/,
90,Van Reigersbergenstraat 47 II,,,,1052 SR,7-5-2016,,apartment,,25-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49736447-van-reigersbergenstraat-47-ii/,
91,Bestevâerstraat 158 II,,,,1055 TR,1-6-2016,,apartment,,22-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49863238-bestevaerstraat-158-ii/,
92,Kinkerstraat 49 2,,,,1053 DD,23-6-2016,,apartment,,4-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49899714-kinkerstraat-49-2/,
93,Pieter Aertszstraat 89 III/IV,,,,1073 SL,6-5-2016,,apartment,,27-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49735613-pieter-aertszstraat-89-iii-iv/,
94,Het Hoogt 426,,,,1025 HL,17-6-2016,,apartment,,5-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49885778-het-hoogt-426/,
95,Burgemeester Hogguerstraat 73,,,,1064 CK,15-6-2016,,apartment,,27-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49889159-burgemeester-hogguerstraat-73/,
96,Lisdoddelaan 62,,,,1087 KA,6-4-2016,,house,,5-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49628433-lisdoddelaan-62/,
97,Willem Augustinstraat 313,,,,1061 MJ,4-6-2016,,apartment,,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49878345-willem-augustinstraat-313/,
98,Valutaboulevard 22,,,,1060 RX,22-4-2016,,house,,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49711872-valutaboulevard-22/,
99,Sportstraat 18 II,,,,1076 TW,2-6-2016,,apartment,,8-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49863904-sportstraat-18-ii/,
100,Piet Gijzenbrugstraat 5 II,,,,1059 XD,18-5-2016,,apartment,,6-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49747605-piet-gijzenbrugstraat-5-ii/,
101,Jekerstraat 59 2,,,,1078 LZ,3-5-2016,,apartment,,13-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49721339-jekerstraat-59-2/,
102,Jacob van Lennepkade 41 II,,,,1054 ZG,12-5-2016,,apartment,,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49730052-jacob-van-lennepkade-41-ii/,
103,Leimuidenstraat 15 huis,,,,1059 ED,14-5-2016,,apartment,,26-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49745656-leimuidenstraat-15-huis/,
104,Oostenburgervoorstraat 22,,,,1018 MR,15-6-2016,,apartment,,14-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85243797-oostenburgervoorstraat-22/,
105,Deltastraat 3 -I,,,,1078 PB,23-6-2016,,apartment,,5-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49899223-deltastraat-3-i/,
106,Honingen 36,,,,1083 JP,21-5-2016,,apartment,,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85105503-honingen-36/,
107,Wolbrantskerkweg 53 +PP,,,,1069 CL,10-5-2012,,house,,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-48464995-wolbrantskerkweg-53-pp/,
108,Bilderdijkstraat 79 E,,,,1053 KM,3-7-2016,,apartment,,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49801939-bilderdijkstraat-79-e/,
109,Marco Polostraat 281 -III,,,,1056 DN,29-4-2016,,apartment,,17-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49728074-marco-polostraat-281-iii/,
110,Van Nijenrodeweg 670,,,,1082 JB,18-6-2016,,apartment,,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49882284-van-nijenrodeweg-670/,
111,Egidiusstraat 43 huis,,,,1055 GM,18-6-2016,,apartment,,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49895354-egidiusstraat-43-huis/,
112,Fagelstraat 70 III,,,,1052 GG,6-5-2016,,apartment,,20-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49724821-fagelstraat-70-iii/,
113,Beemsterstraat 96,,,,1024 BG,14-4-2016,,apartment,,5-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49702281-beemsterstraat-96/,
114,3e Kekerstraat 146,,,,1104 VC,17-2-2016,,house,,7-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49641476-3e-kekerstraat-146/,
115,Churchill-laan 89 D,,,,1078 DK,24-6-2016,,apartment,,5-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49891785-churchill-laan-89-d/,
116,Statenjachtstraat 468,,,,1034 EV,29-4-2016,,apartment,,25-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49729696-statenjachtstraat-468/,
117,Kinrooistraat 20,,,,1066 LB,22-4-2016,,house,,18-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49711119-kinrooistraat-20/,
118,Balthasar Floriszstraat 14 III,,,,1071 VC,10-6-2016,,apartment,,24-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49870732-balthasar-floriszstraat-14-iii/,
119,Overvoorde 30,,,,1082 GA,29-4-2016,,apartment,,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49726251-overvoorde-30/,
120,Hogevecht 249,,,,1102 HM,19-5-2016,,apartment,,15-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49748429-hogevecht-249/,
121,Bijlmerdreef 244,,,,1102 AB,20-5-2016,,apartment,,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49749968-bijlmerdreef-244/,
122,Anna Blamansingel 87,,,,1102 ST,21-5-2016,,apartment,,16-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49741124-anna-blamansingel-87/,
123,Marco Polostraat 73 hs,,,,1057 WG,29-4-2016,,apartment,,26-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49728848-marco-polostraat-73-hs/,
124,Valutaboulevard 16,,,,1060 RX,23-4-2016,,house,,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49713551-valutaboulevard-16/,
125,Waalstraat 156 II,,,,1079 EG,7-4-2016,,apartment,,25-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49794335-waalstraat-156-ii/,
126,Haringbuisdijk 18,,,,1086 VA,30-3-2016,,house,,7-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49796185-haringbuisdijk-18/,
127,Piet Gijzenbrugstraat 40 hs,,,,1059 XK,23-5-2016,,apartment,,31-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49743668-piet-gijzenbrugstraat-40-hs/,
128,Daniël Defoelaan 162,,,,1102 ZL,19-4-2016,,apartment,,19-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49717552-daniel-defoelaan-162/,
129,Commelinstraat 326,,,,1093 VD,13-4-2016,,apartment,,24-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49701268-commelinstraat-326/,
130,Kromme-Mijdrechtstraat 35 I,,,,1079 KP,17-3-2016,,apartment,,14-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49771843-kromme-mijdrechtstraat-35-i/,
131,Prinsengracht 620 /C+D,,,,1017 KT,8-3-2016,,apartment,,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49760329-prinsengracht-620-c-d/,
132,Venetiëhof 107,,,,1019 NC,11-3-2016,,apartment,,15-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49764718-venetiehof-107/,
133,Zeeburgerkade 196,,,,1019 HJ,29-4-2016,,apartment,,21-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49728348-zeeburgerkade-196/,
134,Orteliusstraat 246 I,,,,1056 PJ,26-5-2016,,apartment,,21-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49744016-orteliusstraat-246-i/,
135,Wilhelminastraat 136 1,,,,1054 WR,20-5-2016,,apartment,,7-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49740488-wilhelminastraat-136-1/,
136,Doggersbankstraat 22 III,,,,1055 NZ,16-4-2016,,apartment,,9-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49704858-doggersbankstraat-22-iii/,
137,Joos Banckersplantsoen 92,,,,1056 LD,15-6-2016,,apartment,,1-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49880676-joos-banckersplantsoen-92/,
138,Ruimzicht 106,,,,1068 CR,25-5-2016,,apartment,,16-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85219252-ruimzicht-106/,
139,Bouwnummer 1 (Bouwnr. 1),,,,1087 HC,12-4-2016,,house,,14-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49709180-bouwnummer-1-bouwnr-1/,
140,Bouwnummer 2 (Bouwnr. 2),,,,1087 HC,12-4-2016,,house,,14-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49709168-bouwnummer-2-bouwnr-2/,
141,Vasco da Gamastraat 61 III,,,,1057 VJ,2-7-2016,,apartment,,14-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49800484-vasco-da-gamastraat-61-iii/,
142,Tugelaweg 122 A,,,,1091 VV,15-4-2016,,apartment,,24-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85168714-tugelaweg-122-a/,
143,Sanderijnstraat 27 huis,,,,1055 BN,28-5-2016,,apartment,,15-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49860880-sanderijnstraat-27-huis/,
144,Ladogameerhof 166,,,,1060 RE,23-4-2016,,apartment,,24-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49713143-ladogameerhof-166/,
145,Kijkduinstraat 119 -1,,,,1055 XW,23-6-2016,,apartment,,14-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49899813-kijkduinstraat-119-1/,
146,Aaf Bouberstraat 140,,,,1065 LW,22-5-2016,,apartment,,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85106934-aaf-bouberstraat-140/,
147,Fraunhoferstraat 3 HS,,,,1098 LN,22-4-2016,,apartment,,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49711389-fraunhoferstraat-3-hs/,
148,Amstelveenseweg 188 III-IV,,,,1075 XR,28-5-2016,,apartment,,16-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49869639-amstelveenseweg-188-iii-iv/,
149,Gloriantstraat 16 II,,,,1055 CV,14-6-2016,,apartment,,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49888051-gloriantstraat-16-ii/,
150,Jasonstraat 8 -III,,,,1076 LA,19-5-2016,,apartment,,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49746882-jasonstraat-8-iii/,
151,Langswater 845,,,,1069 EH,22-5-2016,,apartment,,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49741347-langswater-845/,
152,Knollendamstraat 4 III/IV,,,,1013 TN,4-6-2016,,apartment,,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49878073-knollendamstraat-4-iii-iv/,
153,Albert Cuypstraat 70 -B-3/4,,,,1072 CW,26-3-2016,,apartment,,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49782007-albert-cuypstraat-70-b-3-4/,
